station,x,y,element,value,anomaly,anom_type,geometry,SIGLA,NOME,LITOTIPOS,LEGENDA
BM-0094,298561,7973379,P (ppm),4.0,3.802517455883796,1,POINT (-46.90601579718101 -18.31980014348423),NP3bsh,Formação Serra de Santa Helena,"Arenito, Argilito, Calcário, Calcário calcítico, Calcário dolomítico, Folhelho, Marga, Metarenito, Metargilito, Metassiltito, Siltito","Metassiltito,/metargilito esverdeado a acinzentado quando fresco, mas com diversas cores de alteração, variando de amarelado a rosado. Em geral apresentam-se laminados. Quando compactados apresentam aspecto ardosiano, com clivagem característica. Rara"
BM-0099,297592,7971938,P (ppm),3.8304603500309673,3.802517455883796,1,POINT (-46.9153240214504 -18.3327252854383),NP3bsh,Formação Serra de Santa Helena,"Arenito, Argilito, Calcário, Calcário calcítico, Calcário dolomítico, Folhelho, Marga, Metarenito, Metargilito, Metassiltito, Siltito","Metassiltito,/metargilito esverdeado a acinzentado quando fresco, mas com diversas cores de alteração, variando de amarelado a rosado. Em geral apresentam-se laminados. Quando compactados apresentam aspecto ardosiano, com clivagem característica. Rara"
MR-0137,292331,7966057,P (ppm),3.8147801457458046,3.802517455883796,1,POINT (-46.96568725954806 -18.38534173922603),NP3bsh,Formação Serra de Santa Helena,"Arenito, Argilito, Calcário, Calcário calcítico, Calcário dolomítico, Folhelho, Marga, Metarenito, Metargilito, Metassiltito, Siltito","Metassiltito,/metargilito esverdeado a acinzentado quando fresco, mas com diversas cores de alteração, variando de amarelado a rosado. Em geral apresentam-se laminados. Quando compactados apresentam aspecto ardosiano, com clivagem característica. Rara"
AC-0053,309060,7900408,P (ppm),3.920279894632949,3.802517455883796,1,POINT (-46.81370098308833 -18.9799490962404),K2_lambda_sn,Suíte intrusiva Serra Negra,Piroxenito,"Carbonatito, piroxenito, dunito, jacupiranguito e peridotito"
MR-0205,302787,7919592,Sn (ppm),1.0969100130080565,1.078960684264656,1,POINT (-46.87133670524558 -18.80606803347676),NP1cpsa,Membro Serra da Anta,"Filito, Filito grafítico, Quartzito, Quartzito ferruginoso","Filito sericítico ora carbonoso com intercalações de quartzito micáceo,  quartzito, quartzito ferrugino e filito carbonoso."
MR-0207,308152,7915221,Sn (ppm),1.546542663478131,1.078960684264656,1,POINT (-46.82087331301969 -18.8460559467665),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
AC-0053,309060,7900408,Sr (ppm),2.707314633588708,2.576863313664621,1,POINT (-46.81370098308833 -18.9799490962404),K2_lambda_sn,Suíte intrusiva Serra Negra,Piroxenito,"Carbonatito, piroxenito, dunito, jacupiranguito e peridotito"
SQ-0021,337232,7952778,Sr (ppm),2.638589083292717,2.576863313664621,1,POINT (-46.5418769556202 -18.50923317709217),NP3sd,Formação Serra da Saudade,"Arenito, Metapelito, Metargilito, Metassiltito","Sequência de sedimentos terrígenos intercalados, levemente metamorfisados, com pouca contribuição carbonática, constituída por: (1) Metargilito cinza, pouco intemperizado, com grãos em alto grau de esfericidade e arredondamento e grande quantidade"
BM-0132,249709,7955769,Th (ppm),2.030599721965951,1.8499105437233645,1,POINT (-47.37016583780063 -18.4736527627626),NP2adf,"Unidade Abadia dos Dourados, filito","Filito, Quartzito","Filito, filito carbonoso e quartzito. Lentes de quartzito ferruginoso."
AC0011,253225,7928084,Th (ppm),1.9637878273455556,1.8499105437233645,1,POINT (-47.34030640651053 -18.7240758101117),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
BM0004,254903,7918476,Th (ppm),2.039414119176137,1.8499105437233645,1,POINT (-47.32559253705081 -18.81103831582211),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0007,241739,7921617,Th (ppm),2.081707270097349,1.8499105437233645,1,POINT (-47.45000570013552 -18.78107801625205),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0021,261042,7914599,Th (ppm),2.056523724079101,1.8499105437233645,1,POINT (-47.26784699160262 -18.84676737919506),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0030A,243046,7927051,Th (ppm),2.016615547557177,1.8499105437233645,1,POINT (-47.43691012775793 -18.73217277976431),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
BM0040A,240572,7939356,Th (ppm),1.951823035315912,1.8499105437233645,1,POINT (-47.4587536869369 -18.62075641824408),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
BM0043,239721,7941627,Th (ppm),1.8721562727482928,1.8499105437233645,1,POINT (-47.46651793168787 -18.60014456895504),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
BM0046,237579,7945520,Th (ppm),2.071882007306125,1.8499105437233645,1,POINT (-47.48629229247021 -18.56472576109186),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
ED0060A,254483,7927400,Th (ppm),1.8836614351536176,1.8499105437233645,1,POINT (-47.32846801651439 -18.73040129722622),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
SM-0107,251216,7962685,U (ppm),1.001300933020418,0.9697646775767595,1,POINT (-47.35505244053051 -18.41137546791307),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0004,254903,7918476,U (ppm),0.9995654882259823,0.9697646775767595,1,POINT (-47.32559253705081 -18.81103831582211),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0021,261042,7914599,U (ppm),1.0569048513364727,0.9697646775767595,1,POINT (-47.26784699160262 -18.84676737919506),NP1amx,"Unidade Araxá, micaxisto",Mica xisto,(Granada)-mica xistos com níveis de quartzitos e turmalinitos.
BM0030A,243046,7927051,U (ppm),1.0799044676667209,0.9697646775767595,1,POINT (-47.43691012775793 -18.73217277976431),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
BM0046,237579,7945520,U (ppm),0.9735896234272567,0.9697646775767595,1,POINT (-47.48629229247021 -18.56472576109186),NP2mc,Complexo Monte Carmelo,,"Gnaisses granitóides milonitizados com xenólitos de micaxisto, quartzito e anfibolito."
